Frame 86: X=649, Y=1515, Radius=68
Frame 86: X=1, Y=637, Radius=39
Frame 86: X=709, Y=548, Radius=12
Frame 86: X=1027, Y=566, Radius=49
Frame 87: X=576, Y=1892, Radius=68
Frame 87: X=908, Y=1485, Radius=13
Frame 87: X=925, Y=1095, Radius=12
Frame 89: X=566, Y=434, Radius=12
Frame 89: X=663, Y=400, Radius=45
Frame 90: X=494, Y=869, Radius=12
Frame 90: X=591, Y=800, Radius=45
Frame 90: X=621, Y=504, Radius=31
Frame 91: X=421, Y=1304, Radius=12
Frame 91: X=519, Y=1201, Radius=45
Frame 92: X=350, Y=1738, Radius=12
Frame 92: X=447, Y=1601, Radius=45
Frame 92: X=548, Y=1008, Radius=31
Frame 93: X=477, Y=1513, Radius=31
Frame 93: X=121, Y=494, Radius=62
Frame 93: X=340, Y=398, Radius=23
Frame 94: X=50, Y=990, Radius=62
Frame 94: X=267, Y=795, Radius=23
Frame 94: X=432, Y=617, Radius=16
Frame 95: X=1, Y=1485, Radius=57
Frame 95: X=195, Y=1194, Radius=23
Frame 96: X=123, Y=1591, Radius=23
Frame 96: X=360, Y=1233, Radius=16
Frame 97: X=289, Y=1851, Radius=16
Frame 98: X=289, Y=1851, Radius=16
Frame 99: X=289, Y=1851, Radius=16
Frame 100: X=289, Y=1851, Radius=16
Frame 101: X=289, Y=1851, Radius=16
